settings,validation,test,training time,inference time
Optimized,0.9808333516120911,0.9767000079154968,94.05187702178955,0.8138177394866943
Default,0.4911666810512543,0.46709999442100525,11.170972108840942,0.713768720626831
Optimized,0.9800000190734863,0.9764999747276306,90.41385674476624,0.8046839237213135
Default,0.2224999964237213,0.21150000393390656,11.151000738143921,0.6851627826690674
Optimized,0.9804999828338623,0.9761999845504761,87.43451499938965,0.7960453033447266
Default,0.10499999672174454,0.11349999904632568,11.140425443649292,1.0961084365844727
Optimized,0.9828333258628845,0.975600004196167,88.96918201446533,0.7525486946105957
Default,0.10499999672174454,0.11349999904632568,11.28857970237732,0.8033523559570312
Optimized,0.9798333048820496,0.9769999980926514,89.35285544395447,0.8004746437072754
Default,0.43700000643730164,0.4530999958515167,11.254816055297852,0.804415225982666
Activation,0.9810000061988831,0.9750000238418579,89.1461718082428,0.8242759704589844
Activation,0.9803333282470703,0.9764000177383423,86.58225345611572,0.7957935333251953
Activation,0.9786666631698608,0.9757000207901001,89.11909198760986,0.7965474128723145
Activation,0.9826666712760925,0.9768999814987183,88.71134901046753,0.8197653293609619
Activation,0.9798333048820496,0.9778000116348267,89.76549172401428,0.7990126609802246
Init,0.9538333415985107,0.9420999884605408,89.65125846862793,0.7638688087463379
Init,0.10499999672174454,0.11349999904632568,89.18008661270142,0.7742362022399902
Init,0.9599999785423279,0.9470999836921692,89.74294590950012,0.8692388534545898
Init,0.9323333501815796,0.9226999878883362,90.33973026275635,0.7850043773651123
Init,0.10499999672174454,0.11349999904632568,91.3568856716156,0.7905008792877197
Loss,0.9823333621025085,0.9775999784469604,93.11274600028992,0.7717030048370361
Loss,0.9821666479110718,0.9772999882698059,85.10579895973206,0.8918914794921875
Loss,0.9798333048820496,0.9750999808311462,91.1375470161438,0.7733628749847412
Loss,0.9806666374206543,0.9768999814987183,93.98289775848389,0.750938892364502
Loss,0.9801666736602783,0.9779999852180481,89.49537539482117,0.693058967590332
Input,0.9646666646003723,0.9592999815940857,87.88348650932312,0.7459850311279297
Input,0.9649999737739563,0.9613000154495239,92.27637434005737,0.7920594215393066
Input,0.9696666598320007,0.9617999792098999,91.03134608268738,0.8389909267425537
Input,0.9649999737739563,0.9607999920845032,89.39133596420288,0.7381165027618408
Input,0.9704999923706055,0.9616000056266785,91.64603757858276,0.7780890464782715
Batch,0.8506666421890259,0.8355000019073486,11.439651727676392,0.7695016860961914
Batch,0.8998333215713501,0.8848000168800354,11.422756433486938,0.8116364479064941
Batch,0.9011666774749756,0.8862000107765198,11.811686992645264,0.8433351516723633
Batch,0.925166666507721,0.9125999808311462,11.682121515274048,0.9928865432739258
Batch,0.8698333501815796,0.8525000214576721,11.40422511100769,0.8345756530761719
